Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
303205;RAAMKNIP SLUITSTUK ARLU TYPE 917  ALUMINIUM F1 OPDEK 15,5MM;4.98;;3.73;1;st;1144;00917101;ARGENTA;;
303206;RAAMKNIP SLUITSTUK ARLU TYPE 919  ALUMINIUM F1 OPDEK 19MM;4.98;;3.73;1;st;1144;00919101;ARGENTA;;
303207;RAAMKNIP OPVULPLAAT ARLU  WIT 1,5MM 902/2;0.43;;0.32;1;st;1145;00900002;ARGENTA;;
303208;RAAMKNIP AXA INCL. SLUITBEUGEL  3380-11-23 41X52MM;7.06;;3.53;1;st;1142;33801123;AXA;;
303209;RAAMKNIP SLUITSTUK ARLU TYPE 915  ALUMINIUM F1 OPDEK 3MM;4.98;;3.73;1;st;1144;00915101;ARGENTA;;
303211;RAAMKNIP NEMEF RVS  2001/17 KLEIN MET SLUITBEUGEL;41.53;;20.76;1;st;1142;9200117000;ASSA ABLOY;;
303214;SLUITSCHROEF NEMEF VERZINKT  SS2002/12;3.03;;1.51;1;st;1142;9200190000;ASSA ABLOY;;
303215;RAAMKNIP MET SLUITBEUGEL NEMEF VERZINKT  2001/12 KLEIN SCHOOT ZAMAC;10.15;;5.07;1;st;1142;9200112000;ASSA ABLOY;;
303216;RAAMKNIP ZWART  INCL. SLUITKOM + BEVESTIGINGSMIDDELEN;46.34;;23.17;1;st;1142;303216;BURGHOUWT;;
303218;ROLLUS VERZINKT 16MM  TBV STAAF 13MM / SCHROEF 6x38MM;5.75;;2.87;1;st;11013;9068009;FUHR;;
303220;ROLLUS VERZINKT 12MM  TBV STAAF 9MM / SCHROEF 6X32MM;4.01;;2.00;1;st;11013;9230321;FUHR;;
303221;RAAMSCHAAR NEMEF VERZINKT  2110/12  DUBBEL 180MM;22.96;;11.48;1;st;1171;9211012180;ASSA ABLOY;;
303223;RAAMSCHAAR NEMEF MESSING  2110/13  DUBBEL 180MM;42.52;;21.26;1;st;1171;9211013180;ASSA ABLOY;;
303230;RAAMSLOT OPLEG WIT NEMEF SKG*  2565/1;18.70;;7.95;1;st;112;NIET BESTELLEN;ASSA ABLOY;;
